hatchery,year,n,total
CH,2011,934,9420
CH,2012,852,9420
CH,2013,913,9420
CH,2014,885,9420
CH,2015,1403,9420
CH,2016,464,9420
CH,2017,1026,9420
CH,2018,1355,9420
CH,2019,1588,9420
FRH,2011,642,8218
FRH,2012,762,8218
FRH,2013,1526,8218
FRH,2014,1510,8218
FRH,2015,634,8218
FRH,2016,137,8218
FRH,2017,953,8218
FRH,2018,1094,8218
FRH,2019,960,8218
MRH,2011,209,2510
MRH,2012,205,2510
MRH,2013,131,2510
MRH,2014,187,2510
MRH,2015,129,2510
MRH,2016,56,2510
MRH,2017,651,2510
MRH,2018,630,2510
MRH,2019,312,2510
NH,2011,500,3522
NH,2012,293,3522
NH,2013,415,3522
NH,2014,328,3522
NH,2015,87,3522
NH,2016,519,3522
NH,2017,523,3522
NH,2018,410,3522
NH,2019,447,3522
