MeanHe,year,hatchery,MeanHo,MeanHoe
0.3617757746547442,2011,CH,0.3548971482000935,0.9809864923619741
0.3638913696245594,2012,CH,0.35596865878015055,0.9782278132823456
0.3627178057965648,2013,CH,0.3603358793576185,0.9934331141154888
0.3632414167465494,2014,CH,0.3593788819875776,0.9893664803051165
0.36294006678688634,2015,CH,0.35772967700791536,0.98564393888749
0.3623180789817206,2016,CH,0.3587437475952289,0.9901348246365813
0.3634462072475672,2017,CH,0.3626961797160065,0.9979363451410298
0.36424584635813956,2018,CH,0.3655802501133934,1.0036634700672518
0.36246317535987066,2019,CH,0.3597638800255265,0.9925529115291114
0.36012669879099707,2011,FRH,0.35763437179048274,0.9930793051198884
0.3641451158162162,2012,FRH,0.36561396399004226,1.0040336890707258
0.3609370215273576,2013,FRH,0.36227982912984963,1.003720337683316
0.362306823107624,2014,FRH,0.36142761394101874,0.9975733022109161
0.3629494360463022,2015,FRH,0.36118815592203896,0.9951473126850691
0.3655159380945203,2016,FRH,0.36456176673567975,0.9973895218801818
0.36312633378723036,2017,FRH,0.36030409650665995,0.9922279465354775
0.3617118213700561,2018,FRH,0.3629936178699641,1.003543695351324
0.36661288794420377,2019,FRH,0.36312959687179963,0.9904987217117848
0.3625998326231454,2011,MRH,0.36571338117349095,1.008586734659587
0.3605731765642877,2012,MRH,0.3742466637968145,1.0379215319420436
0.3618189323051338,2013,MRH,0.3684782608695652,1.0184051412733024
0.36127240499103336,2014,MRH,0.3658636897767333,1.012708650653276
0.3606200037435172,2015,MRH,0.3682170542635659,1.021066636462718
0.35111341956552267,2016,MRH,0.36798418972332014,1.0480493459312203
0.36157813902234714,2017,MRH,0.3658803338268946,1.0118983819546723
0.34884507395795017,2018,MRH,0.3634972562262558,1.0420019755533994
0.3581312132771276,2019,MRH,0.37253599888158817,1.0402220891964362
0.3836693601045327,2011,NH,0.37201469687691363,0.9696231587936976
0.39027532146032984,2012,NH,0.38697146272224714,0.9915345435480769
0.3776225384951531,2013,NH,0.37841993637327676,1.002111626814706
0.387674403477888,2014,NH,0.3798032176572264,0.9796964005102015
0.38937059599559476,2015,NH,0.3801849075462269,0.9764088800134467
0.3794608749405834,2016,NH,0.3755942605238136,0.9898102421827409
0.392144487620293,2017,NH,0.3736744432661718,0.9528999005794887
0.37979227058040693,2018,NH,0.3859108420473308,1.0161103106642304
0.380245303778357,2019,NH,0.3807588751495812,1.0013506317267327
