SpawnYear1,SpawnYears,Mean_Fst,Hatchery
2011,2011:2012,-1.0713630181931955e-4,CH
2012,2012:2013,6.024894883603751e-4,CH
2013,2013:2014,0.0019506270567726351,CH
2014,2014:2015,5.790898034952081e-4,CH
2015,2015:2016,-0.0011775871181369819,CH
2016,2016:2017,-9.918991150182153e-4,CH
2017,2017:2018,0.0015103633595614909,CH
2018,2018:2019,9.914860350906335e-4,CH
2011,2011:2012,0.008081849978405234,FRH
2012,2012:2013,0.007336172873163991,FRH
2013,2013:2014,0.0036625880563188134,FRH
2014,2014:2015,0.0032389190064474717,FRH
2015,2015:2016,7.738078103359241e-4,FRH
2016,2016:2017,2.230327763385465e-5,FRH
2017,2017:2018,0.005443822596256319,FRH
2018,2018:2019,4.2903121217087854e-4,FRH
2011,2011:2012,0.018408729585843248,MRH
2012,2012:2013,0.013593219730710735,MRH
2013,2013:2014,0.004545227355414324,MRH
2014,2014:2015,0.005536341409391829,MRH
2015,2015:2016,0.017101814774869897,MRH
2016,2016:2017,0.015248577648950058,MRH
2017,2017:2018,0.016194796622798005,MRH
2018,2018:2019,0.0022339093226144795,MRH
2011,2011:2012,0.00907182112184213,NH
2012,2012:2013,0.009896760885983959,NH
2013,2013:2014,0.007684718483195577,NH
2014,2014:2015,0.007619063327932383,NH
2015,2015:2016,0.0016703948290910037,NH
2016,2016:2017,0.026327797332116352,NH
2017,2017:2018,0.024231579655387258,NH
2018,2018:2019,0.022930850874295566,NH
