type.use,no.use,sex,no.spawners,mean_kids.spawn,mean_kids.total
iteroparous,1,Female,224,4.089285714285714,7.455357142857143
iteroparous,2,Female,226,5.535398230088496,8.389380530973451
iteroparous,3,Female,31,7.32258064516129,11.03225806451613
iteroparous,4,Female,4,1.5,10.75
once,1,Female,2829,3.937787203958996,3.937787203958996
repeat,1,Female,22,2.090909090909091,2.5
repeat,2,Female,1,3,12
iteroparous,1,Male,326,4.7024539877300615,6.858895705521473
iteroparous,2,Male,208,4.519230769230769,8.485576923076923
iteroparous,3,Male,37,4.405405405405405,12.594594594594595
iteroparous,4,Male,7,5,14
iteroparous,5,Male,1,2,13
iteroparous,7,Male,1,1,1
once,1,Male,2648,4.086480362537764,4.086480362537764
repeat,1,Male,23,2.9130434782608696,2.9130434782608696
repeat,2,Male,6,4.5,5.833333333333333
